IncidentNum,IncidentName,LATITUDE_C,LONGITUDE_C,Year
MN-RLA-621,Red Lake 621,48.125556,-95.462222,2002
MN-SUF-218,Balsam Lake,47.551111,-91.222778,2002
MN-SUF-227,North Shore Complex,47.464722,-91.240278,2002
MNS-255-008,Tuesday,47.953611,-90.758056,2002
MO-MTF-053,DECKARD HOLLOW,36.758333,-91.307222,2002
NJ-B081503,Skunk Ridge,40.2,-74.433333,2002
NJ-C061001,Five Mile,39.756944,-74.796667,2002
NJ-NJS-02948,Jake's Branch Fire,39.926667,-74.225278,2002
NY-NYS-01,Painter hill,40.68,-74.478056,2002
PA-PAS-001,Blue Mountain,40.666667,-75.533333,2002
RLA-F5202013,Red Lake 13,47.95,-95.383333,2002
RLA-F5202033,Red Lake 33,47.916667,-95.283333,2002
RLA-F5202039,Red Lake 39,47.966667,-95.633333,2002
WI-WIS-2001,CYPRESS ROAD FIRE,43.991389,-88.9625,2002
AZ-ASD-C190,Mud,36.6325,-113.863056,2002
G499 / P46581,HORSE BUTTE,42.496944,-113.3975,2002
ID BOD F346,Jack Knife,44.172222,-116.344444,2002
ID BOD F350,Web,44.117222,-116.346389,2002
ID SCF-2015,Parker Mountain,45.766667,-115.1,2002
ID-BOD-F007,Chip,43.508889,-116.138611,2002
ID-BOD-F014,Hot Fire,42.800556,-115.708889,2002
ID-BOD-F015,Survivor,42.523889,-115.474722,2002
ID-BOD-F016,Big Crow,42.522222,-115.262778,2002
ID-BOD-F024,Clot,42.474167,-115.404167,2002
ID-BOD-F025,Club,42.396667,-115.405556,2002
ID-BOD-F028,Devil Skin,42.367222,-115.061389,2002
ID-BOD-F033,Horse Skin,42.473611,-115.171389,2002
ID-BOD-F052,Big B,42.885,-116.848056,2002
ID-BOD-F079,Sheepshead,42.365833,-115.566389,2002
ID-BOD-F328,Grinder,42.649167,-115.344167,2002
ID-BOD-F342,CINDERCO,43.260278,-115.945278,2002
ID-BOD-F345,Guff,43.276389,-116.504444,2002
ID-BOF-067,Garden Valley Complex,44.128611,-115.899722,2002
ID-BOF-P41519,ANDERSON/DANSKIN,44.141238,-115.882369,2002
ID-IFD-F843,Camel,42.883333,-112.366667,2002
ID-MNR-G464,Walcott1,42.649722,-113.463889,2002
ID-PAF-023,KING HILL,44.523056,-116.368611,2002
ID-SCF-2004,Horse,45.439167,-114.515833,2002
ID-SCF-2008,Roaring,45.247778,-114.641944,2002
ID-SCF-2010,Cathedral Rock,45.540833,-114.468333,2002
ID-SCF-2012,Little Soldier,44.694167,-115.133333,2002
ID-SCF-2013,Little Horse,45.45,-114.579167,2002
ID-SCF-2017,Frank Church Complex,45.45,-114.579167,2002
ID-SID-F357,Cherry Creek,43.493611,-114.274444,2002
ID-SID-G474,Jim Burns,43.182778,-114.133889,2002
ID-STF 070,Buck Hollow,41.880278,-113.706389,2002
ID-STF-065,EAGLE SPRINGS,42.141667,-114.288889,2002
ID-STF-066,PROSPECT,41.872778,-113.61,2002
UT-ASF-41075,MUSTANG,40.948889,-109.443333,2002
UT-ASF-41084,LONG RIDGE,40.016667,-110.863056,2002
UT-ASF-41111,BROWNIE,40.677222,-109.760556,2002
UT-CCD-R295,ELK SPRING,38.01,-113.791667,2002
UT-CCD-R306,BIG WASH,37.45,-112.916667,2002
UT-CCD-R361,Maple Springs,38.138333,-112.884722,2002
UT-DIF-009,Sanford,37.943889,-112.125556,2002
UT-DIF-011,Scrabble,37.453333,-113.669722,2002
UT-DIF-047,Sequoia,37.407778,-113.346667,2002
UT-FIF-097,OLD WOMAN,38.847222,-111.442778,2002
UT-FIF-242,COTTONWOOD,38.388333,-112.285556,2002
UT-FIF-269,JOHNSON,38.6425,-111.649444,2002
UT-MLF-2064,NIZHONI,37.763333,-109.534444,2002
UT-MLF-2065,FERRON MOUNTAIN,39.085278,-111.433333,2002
UT-MLF-2150,North Horn Mountain,39.233333,-111.233333,2002
UT-MLF-2176,HANG DOG,38.366667,-109.1,2002
UT-MLF-2182,Hammond,37.6675,-109.717222,2002
UT-MOD-2116,Black Canyon,39.201389,-109.850833,2002
UT-MOD-2120,PRICE CANYON,39.771111,-110.908333,2002
UT-MOD-2172,HORSE,37.75,-109.101389,2002
UT-MOD-2341,BOUNDARY,39.478333,-110.058333,2002
UT-NWS-147,Lime,40.693889,-112.570556,2002
UT-NWS-312,North Etna,41.735,-114.028611,2002
UT-NWS-426,Huff,40.980556,-111.216667,2002
UT-NWS-488,Dynamite,40.677778,-112.605556,2002
UT-PIA-R297,Scarecrow,37.186111,-113.828889,2002
UT-RID-258,COW HOLLOW,39.881667,-112.429722,2002
UT-SCS-034,INDIAN KNOLL,39.144444,-112.055278,2002
UT-SCS-217,LATE,39.677778,-112.223333,2002
UT-SES-2102,DIAMOND CREEK,39.226111,-109.583056,2002
UT-SLD-146,Cane,40.2575,-112.74,2002
UT-SLD-408,Tabby,40.780278,-112.510278,2002
UT-SLD-475,KEIGLY,40.030833,-111.832778,2002
UT-SWS-079,Clear Creek,37.283333,-112.833333,2002
UT-UIF-18027,Springville,40.201944,-111.611111,2002
UT-UOA-044,WILDHORSE COMPLEX,39.545833,-109.929722,2002
UT-UOA-068,COUNTY LINE,39.451667,-109.9525,2002
UT-VLD-R966,GARDER FIRE,39.849167,-110.635,2002
UT-WCF-176,EAST FORK,40.856667,-110.778889,2002
UT-WCF-245,West Twin Peaks,40.5975,-111.75,2002
UT-WCF-474,PINTO RIDGE,40.652778,-110.845556,2002
WY-BTF-010,COW CAMP,42.7275,-109.400278,2002
WY-BTF-014,MULE,42.960278,-110.558611,2002
WY-BTF-036,DIVIDE,42.827222,-109.478889,2002
CA MEU-007499,BURNS,39.768056,-123.551389,2002
CA-BTU-006327,SKYWAY,39.700833,-121.751389,2002
CA-ENF-11411,St. Pauli,38.77,-120.4,2002
CA-ENF-18738,Plum,38.733333,-120.384444,2002
CA-HIA-00203,Supply Creek #13,41.034444,-123.667222,2002
CA-HIA-252,Big Hill,41.093333,-123.6375,2002
CA-HUU-0001596,KELLOGG,41.896569,-124.192665,2002
CA-KNF-1997,FORKS,41.268611,-123.335278,2002
CA-KNF-2988,STANZA,41.6525,-123.3,2002
CA-KNF-3049,EAGLE,41.833333,-122.834722,2002
CA-LNF-3269,CONE,40.766944,-121.2,2002
CA-LNU-006171,POPE,38.600833,-122.417222,2002
CA-LNU-7104,128,38.501944,-122.084167,2002
CA-MDF-000388,Muldoon Complex,41.983889,-120.668056,2002
CA-MEU-006543,SHAMROCK,39.583889,-123.417222,2002
CA-MEU-9436,PINE,38.872222,-122.961111,2002
CA-NEU-14547,SIERRA,38.800556,-121.233889,2002
CA-NEU-8322,Colgate,39.316944,-121.201944,2002
CA-NEU-8323,Garden,38.933333,-121.216944,2002
CA-NEU-8324,Field,39.218333,-121.335833,2002
CA-NOD-2079,ANNIE,41.915,-120.081667,2002
CA-NOD-2085,HORSE COMPLEX,40.62,-120.556667,2002
CA-NOD-2109,RUSH FIRE,40.633333,-120.134167,2002
CA-SCU-004160,Croy,37.103333,-121.737222,2002
CA-SHU-008454,SQUIRREL,40.618611,-121.883611,2002
CA-SKU-002739,MUSSOLINI,41.475,-122.486111,2002
CA-SRF-3522,Shelly Creek,41.875833,-123.85,2002
CA-SWR-454,AB,39.413889,-122.171111,2002
CA-TMU-09828,GONDOLA,38.933333,-119.916667,2002
CA-TMU-12859,SHOWERS,38.775556,-120.032222,2002
CA-TNF-2631,Granite,39.434722,-120.701111,2002
HI-HVP-0202,Kupukupu,19.406944,-155.286389,2002
HI-HVP-0213,Lepo AHI (213),19.357778,-155.113611,2002
MEU-9470,TEN MILE,39.596667,-123.775,2002
BRF-5048,Little Clearwater,45.763333,-114.814444,2002
ID-CMS-43002,OXBOW,46.016667,-116.633333,2002
ID-CWF-042,Heslip,45.379444,-115.027222,2002
ID-CWF-085,CABIN,46.533611,-114.688611,2002
ID-NPF-054,Bird Hill,46.198333,-114.863333,2002
ID-NPF-058,Buck Lake,45.985,-115.120833,2002
ID-NPF-065,South Crew,46.173333,-114.860833,2002
ID-NPF-069,Arlington,45.52,-115.67,2002
ID-NPF-085,KELLY CREEK,45.425,-116.133611,2002
ID-PDS-41008,FISH HATCHERY,46.516667,-116.663333,2002
ID-POS-23019,HOPE 44,48.2875,-116.353611,2002
ID-SJS-32009,Lotus Point Fire,47.257778,-116.639444,2002
MT-BDF-044,Wigwam Complex,45.15,-111.883333,2002
MT-BDF-050,Goldstone,45.1375,-113.558333,2002
MT-BDF-092,Sheep Creek,45.675,-113.790278,2002
MT-BDF-111,BEAR TRAP FIRE,45.542222,-111.563056,2002
MT-BFA-069,FOX CREEK,48.755833,-113.293056,2002
MT-BRF-11516,Krueger Fire,45.792778,-114.338056,2002
MT-BRF-5093,Key Creek,45.561111,-114.9525,2002
MT-BRF-5112,SWET POINT,45.520278,-114.822222,2002
MT-CNF-031,Sioux Complex,45.601111,-104.278889,2002
MT-CNF-106,RED WAFFLE,45.153056,-108.415,2002
MT-CNF-240,KRAFT SPRING COMPLEX,45.578333,-104.12,2002
MT-CRA-128,Border,45.293611,-107.003056,2002
MT-CRA-206,Bull Elk,45.083611,-107.856667,2002
MT-FPA-040,N. Park Road,48.352778,-105.181111,2002
MT-MCD-025,BULL CREEK,45.316389,-106.680833,2002
MT-MCD-059,Line Creek,45.015,-105.97,2002
MT-MCD-087,FIRECRACKER,46.606111,-105.248333,2002
MT-NES-88201,Cap Rock 02,47.48,-108.641389,2002
MT-SOS-89201,Chandler,46.096111,-107.068056,2002
MT-SOS-89202,Joe Hill/McNally,45.541111,-109.283333,2002
MT-SOS-89203,Steamboat,46.244722,-108.040833,2002
MT-SOS-89205,COW CREEK,45.566389,-109.088056,2002
ND-DPF-002,Gorham,47.158333,-103.229167,2002
ND-NDS-0001,PEMBINA GORGE,48.8,-97.866667,2002
WY-YNP-0202,BROAD,44.772222,-110.351389,2002
WY-YNP-0230,PHLOX,44.166667,-110.39,2002
711060,TIMBERED ROCK,42.82,-122.72,2002
NV-SHR-147,Table,41.7275,-119.041389,2002
OR 71S 022,Squire Peak,42.215833,-123.022222,2002
OR-71S-044,Wall Creek,42.483333,-122.738889,2002
OR-71S-051,Lost Lake,42.315278,-122.564167,2002
OR-71S-087,East Antelope,42.290556,-122.650833,2002
OR-78S-045,Siuslaw River Fire,43.972778,-123.627222,2002
OR-98S-177,WINTER FIRE,42.75,-120.783333,2002
OR-BUD-2161,SLOKUMM,43.413889,-118.321111,2002
OR-BUD-2244,SWAMP CREEK,43.038611,-118.706389,2002
OR-DEF-985,CACHE MOUNTAIN,44.385278,-121.764722,2002
OR-FRF-158,Tool Box Complex,42.941667,-120.985833,2002
OR-FRF-170,Grizzly Complex,42.224444,-120.515556,2002
OR-LAD-205,LAVA,43.4625,-120.764167,2002
OR-MAF-103,Monument-Malheur Complex,44.4,-118.711667,2002
OR-MAF-120,MONUMENT  FIRE,44.283333,-118.266667,2002
OR-MAF-174,Flagtail,44.166667,-119.222222,2002
OR-MAF-349,Trout Farm,44.308333,-118.551667,2002
OR-MAR-2056,Sod House,42.392222,-119.117222,2002
OR-MAR-2309,OLIVER,43.095833,-118.848611,2002
OR-MHF-175,Bowl,45.166389,-122.127778,2002
OR-OCF-747,747 COMPLEX,44.313611,-119.646667,2002
OR-PRD-1002,White River,45.221944,-121.065556,2002
OR-SIF-003,Biscuit (formerly Florence),42.412778,-123.870556,2002
OR-UPF-069,TILLER COMPLEX,43.1,-122.666667,2002
OR-UPF-073,NORTH UMPQUA COMPLEX,43.321667,-122.626667,2002
OR-UPF-088,APPLE,43.306667,-122.685556,2002
OR-VAD-047,LINCOLN BENCH II,43.874444,-117.114167,2002
OR-VAD-064,Coyote Trap,42.979722,-117.943056,2002
OR-VAD-073,BIRTHDAY FIRE,43.423611,-117.436111,2002
OR-VAD-093,Pinto Horse,42.801111,-117.437778,2002
OR-VAD-095,Overshoe Well,42.429444,-117.834722,2002
OR-VAD-110,Farewell Bend,44.261111,-117.204167,2002
OR-VAD-120,Trimbly Creek,43.458611,-117.078611,2002
OR-VAD-135,Basque Fire,42.471389,-117.895556,2002
OR-VAD-137,Mahogany Complex,43.270278,-117.337778,2002
OR-VAD-139,Mud Duck,44.549444,-117.178889,2002
OR-VAD-141,Atkins,43.394444,-117.199167,2002
OR-VAD-150,SHEEP ROCK,43.593889,-118.133889,2002
OR-VAD-209,Visher Creek,43.419444,-118.103889,2002
OR-WIF-134,HEMLOCK,43.759722,-122.516111,2002
OR-WIF-153,MT. MARION,44.555278,-121.880556,2002
OR-WSA-059,Eyerly Complex,44.615278,-121.4625,2002
OR-WWF-227,Anniversary,45.493611,-117.602222,2002
OR95S 401 103,SHELDON RIDGE,45.559167,-121.409722,2002
WA OLS 036,OLYMPIC COMPLEX,48.146667,-124.392222,2002
WA-NES-153,Ferry Complex,48.866667,-118.6,2002
WA-OKF-141,Quartz Mt. Complex,48.91,-120.4,2002
WA-SES-423,DEER MOUNTAIN,47.866944,-119.972222,2002
WA-WEF-288,DEER POINT,48.0525,-120.437778,2002
WA-YAA-041,PUMPHOUSE,46.283333,-120.55,2002
CO-ARF-047,Hewlett Gulch,40.631407,-105.260275,2002
CO-ARF-238,Big Elk,40.283889,-105.383056,2002
CO-BLK-243,WONDERLAND,40.048611,-105.291667,2002
CO-CCX-188,Fountain Gulch,39.75,-105.466667,2002
CO-DOD-0368,PINYON CANYON COMPLEX,37.609167,-103.724722,2002
CO-DOD-724,AGONY,38.650278,-104.828333,2002
CO-DRX-26782,BREEN,37.166667,-108.116667,2002
CO-DSP-217,BEAR,40.443889,-108.714722,2002
CO-GJD-275,LONG CANYON,39.469444,-108.906389,2002
CO-GJD-279,DIERICH CREEK,38.938889,-108.861111,2002
CO-GJX-276,COAL SEAM FIRE,39.5525,-107.33,2002
CO-GJX-569,PANORAMA/GARCO ASSIST #4,39.454444,-107.121389,2002
CO-GMF-022,BUCKTAIL COMPLEX,38.349167,-108.439722,2002
CO-GMF-050,WEST BEAVER,37.909167,-108.208333,2002
CO-GMF-088,BURN CANYON,38.076111,-108.35,2002
CO-GMF-091,STEUBEN,38.55,-107.101667,2002
CO-GND-112,Vulcan,38.331667,-106.953333,2002
CO-GUX-052,Wiley Ridge,38.615,-107.018333,2002
CO-LSD-528,Halo,40.546667,-108.398333,2002
CO-MVP-27006,Long Mesa,37.208333,-108.508333,2002
CO-PBX-00260,Furnish Fire,37.033333,-103.116667,2002
CO-PBX-0196,Hanover,38.55,-104.6,2002
CO-PBX-0375,TRINIDAD COMPLEX,37.044167,-104.993333,2002
CO-PBX-216,Milne/Squirrel,38.683333,-104.533333,2002
CO-PBX-332,EL PASO COUNTY COMPLEX,38.683333,-104.233333,2002
CO-PBX-338,LINCOLN COUNTY COMPLEX,38.716667,-103.783333,2002
CO-PBX-343,CHEYENNE COUNTY,38.620278,-102.720833,2002
CO-PSF-072,Platte Springs,39.05,-105.35,2002
CO-PSF-120,CEDAR MTN,39.016667,-105.233333,2002
CO-PSF-130,TOPAZ MTN,39.3,-105.583333,2002
CO-PSF-150,SNAKING,39.433333,-105.533333,2002
CO-PSF-163,ANDRIX #3,37.283333,-103.166667,2002
CO-PSF-213,BLACK MOUNTAIN,39.533333,-105.433333,2002
CO-PSF-283,SCHOONOVER,39.25,-105.183333,2002
CO-PSF-404,HAYMAN,39.049722,-105.429167,2002
CO-PSF-526,Mack Gulch,38.713889,-105.460278,2002
CO-RBX-131,Banty,40.066667,-108.983333,2002
CO-RGD-372,IRON MOUNTAIN,38.356667,-105.456667,2002
CO-RGF-0385,Rio Grande Complex,37.925022,-106.808994,2002
CO-RGF-473,Million,37.626944,-106.6675,2002
CO-RTF-307,Hinman,40.814722,-106.808611,2002
CO-RTF-316,LOST LAKES,40.091944,-107.223333,2002
CO-RTF-318,GREEN CREEK,40.305,-106.688333,2002
CO-RTF-491,BURN RIDGE,40.708333,-106.778611,2002
CO-SJF-26804,Missionary Ridge,37.504167,-107.75,2002
CO-SJF-26814,Valley,37.383889,-107.850278,2002
CO-SJF-27031,Schaff #2,37.603889,-107.751389,2002
CO-SUA-26793,Cow Camp,37.206389,-108.256667,2002
CO-SUA-27027,Cherry Creek,37.173333,-108.237222,2002
CO-UMA-26915,EAST MARBLE,37.303333,-108.628333,2002
CO-WRD-189,PINYON RIDGE,40.229722,-108.376944,2002
CO-WRD-432,North Barcus,40.098056,-108.434167,2002
CO-WRF-339,SPRING CREEK COMPLEX,39.684444,-107.494722,2002
CO-WRF-518,BIG FISH,40,-107.288889,2002
CO-WRF-741,THOMPSON CREEK,39.333056,-107.316944,2002
SD-BKF-21407,SHELDON FIRE,43.89,-104.068333,2002
SD-BKF-21449,Battle Creek,43.91,-103.378333,2002
SD-RBA-240,HORSE LOOKING,44.163889,-100.935,2002
SD-SDS-024159,Grizzly Gulch,44.366667,-103.733333,2002
SD-SDS-026207,LITTLE ELK,44.245,-103.403333,2002
SD-SRA-204,Kraft Complex,46.158333,-101.170833,2002
WY-BHF-148,She Bear Mountain,44.7025,-107.242778,2002
WY-BKF-21357,SURPRISE COMPLEX,44.700278,-104.268056,2002
WY-BKF-21364,BEAVER DAM COMPLEX,44.7,-104.383333,2002
WY-CAD-107,DALEY DRAW,44.864722,-105.505278,2002
WY-CAD-108,POWNELL,44.025,-105.398611,2002
WY-CAD-113,WATT,44.864167,-106.0075,2002
WY-CAD-177,ELK CREEK,44.835,-105.440556,2002
WY-CMX-178,HANSEN DRAW,43.629167,-105.109722,2002
WY-CMX-179,ROURKE,44.495,-105.459444,2002
WY-CPX-111,HART,44.719444,-105.513889,2002
WY-MB1-062,HENSEL,42.312222,-105.41,2002
WY-MB2F-114,Bear Mountain South,41.046111,-106.616667,2002
WY-NIX-236,TOLLMAN,42.875,-104.118056,2002
WY-RAD-079,Reese Mountain,42.021667,-105.3925,2002
WY-RAD-233,ARAPAHOE,42.331667,-107.947222,2002
WY-RSD-121,Currant Creek,41.173333,-109.345278,2002
WY-RSD-170,PEPPER,41.065,-109.311667,2002
WY-RSD-213,VENGENCE,41.310556,-109.199444,2002
WY-RSD-268,Commissary Ridge,42.040556,-110.5875,2002
WY-SH1X-245,CABIN CREEK,44.917222,-106.143611,2002
WY-SHF-351,Pass Creek,42.615278,-108.805278,2002
WY-WOD-360,Bear Creek,43.606944,-107.360833,2002
WY-WRA-050,South Fork II,42.95,-109.131944,2002
199,Lone Palm Fire,25.85,-80.566667,2002
AL-ALF-02012,Cat Fire,32.95,-87.36,2002
AR-OUF-02045,576 COMPLEX,34.450278,-94.268611,2002
AR-OUF-057,ALBERT PIKE,34.366667,-93.852222,2002
AR-OZF-02058,OHT FIRE,35.738333,-93.122778,2002
EC-20125,LOVE,34.716667,-95.4,2002
EC-20137,POTATO PEAK,34.033333,-94.761111,2002
EC-20173,Roberson Ridge,34.633333,-94.75,2002
EC-20202,Rattler,34.674167,-95.856389,2002
EC-20235,Rocky,34.633333,-95.633333,2002
EC-20293,Artesian Well,34.955833,-95.480556,2002
EC-20295,Deer Lane,34.8,-95.725,2002
EC-40005,Pig Fire,35.298333,-94.966111,2002
EC-40009,Miller-Lackey,35.282778,-94.982222,2002
EC-40010,Lone Star,35.398889,-95.052778,2002
EC20245,Beech Creek,34.544444,-94.611111,2002
EC40007,Red Hill,35.35,-94.941667,2002
ECO-092402,Raiford Fire,35.286667,-95.769167,2002
FL-EVP-02015,221/168B,25.614444,-80.551111,2002
FL-EVP-02022,TAG221,25.601389,-80.535833,2002
FL-FLS-BF0838,COURTNEY GULLEY FIRE,35.85,-86.733333,2002
FL-FLS-D12-129,Outlaw Command,28.225833,-81.178611,2002
FL-FLS-D15-167,DUETTE SOUTH,27.516667,-82.183333,2002
FL-FLS-D16-172,INDIAN HAMMOCK,27.566667,-80.833333,2002
FL-FLS-D16-280,PAULSON COMMAND,27.116667,-80.216667,2002
FL-FLS-D16-408,Squirrel,27.016667,-81.366667,2002
FL-FLS-D16-466,ENGLAR FIRE,27.783333,-80.466667,2002
FL-FLS-D16317,Rosemary,27.37,-81.435278,2002
FL-FLS-D18-155,REC AREA COMMAND,26.15,-80.733333,2002
FL-FLS-D18105,DeerFly Fire,25.4,-80.45,2002
FL-FLS-D8-553,Simmons Pond Fire,29.4,-82.033333,2002
FL-FLS-D82060,Road 1 Fire,29.333333,-82.666667,2002
FL-FNF-02010,BETHEA,30.483333,-82.304444,2002
FL-FNF-02024,Powerline,30.047222,-84.766667,2002
FL-FNF-02026,Dead End Complex,30.384167,-82.5,2002
FL-FNF-02029,BLACK CREEK,30.085833,-84.950833,2002
GA-CHF-02054,ROCKY MOUNTAIN,34.801944,-83.732778,2002
GA-CHF-02055,ANDREW COVE,34.792778,-83.713889,2002
GA-CHF-02061,MARCUS MTN. #1,34.886667,-83.238611,2002
GA-OKR-02004,Blackjack Bay Complex,30.689722,-82.293611,2002
KY-DBF-02198,CANE CREEK,36.783611,-84.318889,2002
KY-DBF-02206,BARREN FORK,36.768056,-84.435278,2002
KY-DBF-02227,SCOTCH PINE,37.485833,-83.933889,2002
LA-SBR-02013,PLAINS FIRE,30.119319,-93.001249,2002
LA-SBR-02019,2nd Bayou Complex,29.833333,-93.500278,2002
MS-GBR-002,POLLE ROAD FIRE,30.416667,-88.45,2002
MS-MNF-02013,Hound Fire,31.075278,-89.103611,2002
MS-MNF-02014,JOHN ROAD FIRE,31.086111,-89.160556,2002
MS-MNF-02016,OYSTER,31.443333,-88.883333,2002
MS-MNF-02019,ROBERTS FIRE,31.132222,-88.976389,2002
MS-MSS-01,BlackCreek,30.635663,-88.551111,2002
NC-ALR-02003,PARCHED CORN BAY,35.660278,-75.783056,2002
NC-CLQ-02004,Connecter Road,34.65,-77.266667,2002
NC-NCF-02004,Camp Branch,35.151944,-83.534444,2002
NC4-016-0010,OLD CEDAR ISLAND RD,34.87,-76.369722,2002
NC8-065-0007,CAPE FEAR COMPLEX,34.183611,-78.139167,2002
OK STATE,PHILLIPS FIRE,34.486389,-94.649722,2002
OK-NEU-30597,County Line Fire,36.133889,-95.003611,2002
OK-NEU-30601,Moten Mtn. Fire.,35.666667,-94.583333,2002
OK-NEU-30602,Stewart Mtn. Fire,35.657778,-94.623611,2002
OK-OKA-02007,BEAVER CREEK,34.428056,-98.176111,2002
OK-OKS-#60,Rooster Comb,34.576389,-95.073889,2002
OK-OKS-20303,Dog House,34.800278,-95.183889,2002
OK-OKS-20326,Ludlow,34.55,-94.855556,2002
OK-OKS-20353,Sugarloaf Mountain,35.016667,-94.441667,2002
OK-OKS-20399,Sportsman Addition,35.21,-95.440833,2002
OK-OKS-20401,One Rock,35.268333,-95.370278,2002
OK-OKS-30218,Gray Squirrel Hollow,36.031944,-94.747222,2002
OK-OKS-30341,Tank Fire,35.686667,-95.1525,2002
OK-OKS-30429,Powerline Fire,35.807222,-94.814722,2002
OK-OKS-30447,Polecat Fire,35.563611,-94.62,2002
OK-OKS-30457,N.  Jake Hollow Fire,35.803889,-94.805833,2002
OK-OKS-30532,Boudinot Creek Fire,35.714167,-95.169722,2002
OK-OKS-40015,Shurden,35.323056,-95.881944,2002
OK-OKS-40304,Hectorville Fire,35.8175,-95.961667,2002
OK-OKS-40306,Hiebert Mountain Fire,35.552222,-95.186667,2002
OK-OKS-40307,Twin Hills Fire,35.792222,-95.832778,2002
OK-OKS-CW2003,ENSIGN,35.125833,-98.143889,2002
OK-OKS-EC20043,BUFFALO MOUNTAIN,34.96,-95.516944,2002
OK-OKS-NE-126,BLACK FOX,35.519167,-94.585833,2002
OK-OKS-NE-30,LITTLE CLEAR CREEK,36.058333,-95.108333,2002
OK-OKS-NE-3095,BLUE HOLE,36.283333,-95.016667,2002
OK-OKS-SE-238,Limestone Gap,34.628611,-95.951944,2002
OK-OKS-SE-43,WESLEY CEMETERY,34.583056,-95.899722,2002
OK-OSA,MCQUIRE,36.655278,-96.304444,2002
OK-OSA-017,Lake Hudson,36.762222,-96.011111,2002
OK-OSA-02036,SAND CREEK,36.7,-96.166667,2002
OK-OSA-02041,Sycamore,36.46,-96.606944,2002
OSA-02-046,Jake Complex,36.4225,-97.326389,2002
SC-FMF-264,Monkey Face Complex,33.333333,-79.866667,2002
SC-FMF-280,BIG OCEAN,33.216667,-79.766667,2002
SC-SRF-009,Snelling,33.283333,-81.466667,2002
SCS-022104417,Legends Fire,33.718611,-79.063056,2002
TN-D3S-001,Meigs Co. Fire,35.504765,-84.794209,2002
TN-D3S-003,Ben Liner Hollw Fire,35.266667,-84.716667,2002
TX-BRR-02005,CHOCOLATE BAYOU,29.164444,-95.210278,2002
TX-MCR-2664,OILFIELD BOUNDARY,29.613333,-94.098056,2002
TX-MCR-2826,UNIT 2 WF,29.816667,-94.098056,2002
TX-TXS-02003,CHALK CANYON,30.176667,-103.492778,2002
TX-TXS-02005,Jones Road,32.968056,-98.935833,2002
TX-TXS-02011,CAMDEN,30.943611,-94.747778,2002
TX-TXS-02012,PINELAND,31.397222,-93.914722,2002
TX-TXS-02013,LOST INDIAN,30.866667,-95.6,2002
TX-TXS-02014,COYAL,32.7,-95.016667,2002
TX-TXS-02015,Dude,34.483056,-100.055,2002
VA-SHP-0209,FULTZ RUN,38.5,-78.5,2002
VA-SHP-0218,Rocky Top,38.297222,-78.713889,2002
VA-SHP-0219,Rocky Top II,38.297222,-78.713889,2002
VA-VAF-02016,Maidenhead,37.85,-79.116667,2002
VA-VAF-02033,Marbleyard Complex,37.583333,-79.475,2002
VA-VAF-02039,STRIKE III,38.566389,-78.641667,2002
VA-VAF-02052,STUMPHOLE,38.803333,-78.503333,2002
VA-VAS-0203,COMET COMPLEX,36.961111,-76.721111,2002
